serial_no,exam_name,question,options/A,options/B,options/C,options/D,answer,explanation
248,MAT 2019-2020,হৃৎপিণ্ডে অবস্থিত কোন সংযোগকারী কলা (Junctional tissue) কে পেসমেকার বলা হয়?,অ্যাট্রিও-ভেনট্রিকুলার নোড,বান্ডেল অব হিস,পারকিনজি তত্ত্ব,সাইনো-অ্যাট্রিয়াল নোড,D,"সাইনো-অ্যাট্রিয়াল নোড ডান অ্যাট্রিয়ামের প্রাচীরে, ডান অ্যাট্রিয়াম ও সুপিরিয়র ভেনাক্যাভার ছিদ্রের সংযোগস্থলে অবস্থিত। এখান থেকে সৃষ্ট একটি অ্যাকশন পটেনশিয়াল ইলেকট্রিক্যাল সিগন্যালের মাধ্যমে হার্টবিট শুরু হয়।"
249,MAT 2019-2020,ঘাসফড়িং এর হেপাটিক সিকা কয়টি?,8,14,10,12,D,ঘাসফড়িং এর স্টোমোডিয়াম বা অগ্র-পৌষ্টিকনালি এবং মেসেন্টেরন বা মধ্য-পৌষ্টিকনালির সংযোগস্থলে অবস্থিত কোণ আকৃতির ছয়জোড়া লম্বা স্বচ্ছ নালিকাকে হেপাটিক বা গ্যাস্ট্রিক সিকা বলা হয়।
250,MAT 2019-2020,পাকস্থলির কোন কোষ থেকে হাইড্রোক্লোরিক এসিড নিঃসৃত হয়?,প্যারাইটাল কোষ,জি-কোষ,পেপটিক কোষ,মিউকাস কোষ,A,"পাকস্থলির বিভিন্ন কোষের কাজ:
অক্সিনটিক কোষ বা প্যারাইটাল কোষ: হাইড্রোক্লোরিক এসিড
মিউকাস কোষ: মিউকাস
আর্জেন্টাফাইন কোষ: গ্যাস্ট্রিক ইনট্রিনসিক ফ্যাক্টর
জাইমোজেনিক কোষ বা চীফ কোষ: নিষ্ক্রিয় পেপসিনোজেন"
251,MAT 2019-2020,নিচের কোন অঙ্গ ইরাইস্ট্রোপোয়েটিন (Erythropoietin) উৎপাদন করে?,ফুসফুস,মগজ,বৃক্ক,হৃৎপিণ্ড,C,"বৃক্কের কাজ:
(i) রক্ত থেকে প্রোটিন বিপাকে সৃষ্ট নাইট্রোজেন জাতীয় বর্জ্য পদার্থ অপসারণ করা।
(ii) দেহে প্রবিষ্ট প্রতিবিষ ও ভেষজ পদার্থসমূহ দেহ থেকে অপসারণ করা।
(iii) দেহে এবং রক্তে পানির ভারসাম্য রক্ষা করা।
(iv) দেহে সোডিয়াম, পটাশিয়াম, ক্যালসিয়াম, ফসফেট ক্লোরাইডসহ বিভিন্ন লবণের পরিমাণ নিয়ন্ত্রণ করা।
(v) দেহে রক্তে অম্ল ও ক্ষারের ভারসাম্য রক্ষা করা।
(vi) যথাযথ আয়নিক গঠন বজায় রাখা।
(vii) রক্তচাপ নিয়ন্ত্রণ করা।
(viii) ইরাইথ্রোপোয়েটিন ও রেনিন হরমোন ক্ষরণ।"
252,MAT 2019-2020,শ্বাসতন্ত্রের কোন অংশে গ্যাসীয় বিনিময় হয়?,ট্রাকিয়া,অ্যালভিওলাস,ব্রঙ্কিওল,ব্রহ্মাস,B,"অ্যালভিওলাস ফুসফুসের কার্যকরী একক। একজন পূর্ণবয়স্ক সুস্থ মানুষের দুটি ফুসফুসে প্রায় ৭০০ মিলিয়ন অ্যালভিওলাস থাকে যেগুলো প্রায় ১১,৮০০ বর্গ সেন্টিমিটার শ্বসনতল সৃষ্টি করে।"
253,MAT 2019-2020,প্যারাসিমপ্যাথেটিক স্নায়ু নিচের কোন করোটিক স্নায়ুতে পাওয়া যায়?,ট্রকলিয়ার,অপটিক,অকূলোমোটর,অলফ্যাক্টরি,C,"প্যারাসিমপ্যাথেটিক করোটিক স্নায়ুগুলো হলো- অকুলোমোটর, ফেসিয়াল, গ্লসোফ্যারিঞ্জিয়াল ও ভ্যাগাস।"
254,MAT 2019-2020,হাইড্রার কোন অংশে নিডোসাইট কোষ সবচেয়ে বেশি থাকে?,দেহ প্রাচীর,কর্ষিকা,দেহ কাণ্ড,পাদ-চাকতি,B,"Hydra-র পাদচাকতি ব্যতীত দেহের সর্বত্র নিডোসাইট কোষ বিদ্যমান থাকে। তবে, কর্ষিকাতে এদের সংখ্যা অধিক।"
255,MAT 2019-2020,নিচের কোনটিতে ঐচ্ছিক পেশি পাওয়া যায়?,জরায়ু,পাকস্থলি,জিহ্বা,হৃৎপিণ্ড,C,"ঐচ্ছিক: অস্থির সংযোগস্থল, চোখ, জিহ্বা, গলবিল প্রভৃতি।
অনৈচ্ছিক: পৌষ্টিকনালি, রক্তনালি, শ্বাসনালি, মূত্রথলি, জরায়ু প্রভৃতি।
হৃদপেশি: হৃৎপিণ্ড।"
256,MAT 2019-2020,কোন রক্ত কণিকা অ্যান্টিবডি তৈরি করে?,বেসোফিল,টি-লিম্ফোসাইট,বি-লিম্ফোসাইট,লিম্ফোসাইট,C,"বি-লিম্ফোসাইটের একটি উপধরন হলো প্লাজমা কোষ, যা অ্যান্টিবডি উৎপন্ন করে। মানবদেহে প্রায় ১০০ মিলিয়ন ধরনের অ্যান্টিবডি উৎপন্ন হতে পারে।"
257,MAT 2019-2020,আন্তঃকশেরুকা চাকতিতে কী ধরনের তরুণাস্থি পাওয়া যায়?,স্থিতিস্থাপক তরুণাস্থি,চুনময় তরুণাস্থি,শ্বেত-তত্ত্বময় তরুণাস্থি,স্বচ্ছ তরুণাস্থি,C,"স্থিতিস্থাপক: বহিঃকর্ণ বা পিনা, ইউস্টেশিয়ান নালি, এপিগ্লটিস প্রভৃতি।
চুনময়: হিউমেরাস ও ফিমারের মস্তক।
শ্বেত-তত্ত্বময়: দুটি কশেরুকার মধ্যবর্তী অঞ্চল।
স্বচ্ছ: স্তন্যপায়ীর নাক, শ্বাসনালি, স্বরযন্ত্র এবং ব্যাঙ ও হাঙরের ভ্রূণ বা পরিণত দেহ প্রভৃতি।"
258,MAT 2019-2020,মাইটোসিসে কোষের ভিতয়ে নিউক্লিয়াসের বিভাজনকে কী বলে?,অ্যামাইটোসিস,ক্যারিওকাইনেসিস,সাইটোকাইনেসিস,ডায়াকাইনেসিস,B,"অ্যামাইটোসিস: কোষ বিভাজনের একটি প্রকার যা প্রত্যক্ষ কোষ বিভাজন নামেও পরিচিত।
ক্যারিওকাইনেসিস: নিউক্লিয়াসের বিভাজন।
সাইটোকাইনেসিস: সাইটোপ্লাজমের বিভাজন।
ডায়াকাইনেসিস: মায়োসিস কোষ বিভাজনের প্রোফেজ-১ এর সর্বশেষ ধাপ।"
259,MAT 2019-2020,নিচের কোনটি রক্তনালির সংকোচন ঘটিয়ে রক্তপাত হ্রাস করে?,প্রোম্বোপ্লাস্টিন,হিস্টামিন,সেরোটোনিন,হেপারিন,C,"থ্রোম্বোপ্লাস্টিন: একটি গুরুত্বপূর্ণ ক্লটিং ফ্যাক্টর।
হিস্টামিন: বেসোফিল হতে উৎপন্ন হয় যা দেহের রোগ প্রতিরোধ ক্ষমতা বৃদ্ধি করে।
সেরোটোনিন: অনুচক্রিকা কর্তৃক নিঃসৃত হয়।
হেপারিন: বেসোফিল হতে উৎপন্ন হয় যা রক্তনালির ভিতরে রক্তজমাট রোধ করে।"
260,DAT 2020-2021,নিচের কোন হরমোনটি রক্তে সোডিয়ামের মাত্রা নিয়ন্ত্রণ করে?,গ্লুকাগন,অ্যালডোস্টেরন,এনজিওটেনসিন,রেনিন,B,"রেনিন - নিষ্ক্রিয় অ্যানজিওটেনসিনোজেনকে সক্রিয় অ্যানজিওটেনসিনে পরিণত করে।
অ্যানজিওটেনসিন - অ্যাড্রেনাল কর্টেক্স থেকে অ্যালডোস্টেরন ক্ষরণকে উদ্দীপিত করে।
গ্লুকাগন - রক্তে গ্লুকোজের পরিমাণ বৃদ্ধি করে।"
